unit,hhtyp,indic_il,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,A1_DCH,MEI_E,AL	: 	1918 	2313 	1987 	1648 	1532 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,AT	14027 b	13960 	14738 	14809 	13636 	13934 	14306 	12739 	12686 	11673 	12565 	12967 	12438 	12629 	11669 b	9727 	10006 	10398 	9699 	9949 
EUR,A1_DCH,MEI_E,BE	14366 b	13602 	13207 	13124 b	11701 	11854 	11222 	11104 	10105 	9800 	9050 	9180 	9196 	9450 	8423 	8497 	8714 	7776 	6610 	8213 
EUR,A1_DCH,MEI_E,BG	4403 b	6725 	3725 	3461 	3077 	2556 	2182 b	2422 	2049 	2417 	2011 	2785 	2639 	2706 	2099 	1275 	1000 	: 	: 	: 
EUR,A1_DCH,MEI_E,CH	32257 	28989 	27158 	24760 	24907 	26744 	29028 	24960 	25167 b	26593 	25686 	21907 	20153 	17942 	17933 	17704 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,CY	12106 b	10247 	11403 	11498 	9583 	9260 	8991 	9450 	8710 	11609 	12429 	11222 	10374 	9380 	9199 b	10246 	9726 	8061 	: 	: 
EUR,A1_DCH,MEI_E,CZ	8270 b	6714 	7242 	6674 	6158 	5389 	4543 	4857 	4508 	5170 	5004 	4584 	4630 	4414 	3170 	3031 	2665 	2105 	: 	: 
EUR,A1_DCH,MEI_E,DE	13734 b	14553 	13573 b	13987 	12052 	12101 	12429 	12041 	12654 	10995 	10125 	9481 	8863 	9042 	8651 	9452 	8446 	9580 	: 	: 
EUR,A1_DCH,MEI_E,DK	19562 b	18398 	18248 b	19312 	18025 	18290 	17342 	15267 	16721 	16200 	16879 	15724 b	14758 	14454 	14600 	14040 	12352 	12399 	11983 	11224 
EUR,A1_DCH,MEI_E,EA	: 	11663 	12339 b	12403 	11638 e	11649 e	11289 e	11013 e	11106 e	10628 e	10323 e	10109 e	9660 e	10036 e	9766 e	: 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,EA18	: 	: 	12426 b	12502 	11727 	11750 	11384 	11098 	11106 	10575 	10266 	10048 	9573 	9953 	9615 	9306 	8885 	8841 	: 	: 
EUR,A1_DCH,MEI_E,EA19	: 	11663 	12339 b	12403 	11638 	11649 	11289 	11013 	11024 	10484 	10178 	9941 	9500 	9861 	9522 	9214 	8784 	8725 	: 	: 
EUR,A1_DCH,MEI_E,EA20	12763 	11896 	12308 	12370 	11606 	11614 	11262 	10989 	11073 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,EE	10468 	8263 	9074 	8535 	6814 	7305 	6691 	5683 	5121 b	4644 	4821 	4231 	3745 	4368 	3733 	2802 	2204 	1901 	1545 	: 
EUR,A1_DCH,MEI_E,EL	6342 b	6370 	6723 	6360 	5562 	5443 	5242 	5302 	6057 	5143 	4969 	6732 	8902 	8381 	8893 	8027 	8232 	6528 	6065 	5925 
EUR,A1_DCH,MEI_E,ES	10957 b	9193 	11059 	10903 	10354 	10158 	10260 	9577 	8924 	8878 	9951 	9127 	9095 	10112 	10053 b	8722 	7297 	6950 	7227 	: 
EUR,A1_DCH,MEI_E,EU	: 	: 	: 	11114 e	10498 e	10111 e	9922 e	9572 e	9632 e	8958 e	8866 e	8710 e	8094 e	8448 e	8240 e	: 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,EU27_2007	: 	: 	: 	11132 e	10516 	10129 	9936 	9585 	9649 	8974 	8877 	8723 	8105 	8448 	8240 	8085 	7526 e	7561 e	: 	: 
EUR,A1_DCH,MEI_E,EU27_2020	12361 	11489 	11708 b	11750 e	11006 e	11006 e	10603 e	10312 e	10321 e	9795 e	9512 e	9296 e	8853 e	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,EU28	: 	: 	: 	11114 e	10498 	10111 	9922 	9572 	9632 	8958 	8865 	8710 	8094 	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,FI	16945 	15198 	14546 	14018 	12628 	12942 	12633 	13244 	13608 	14112 	13667 	13397 	13492 	13362 	11065 	9881 	9749 	9299 	9635 	: 
EUR,A1_DCH,MEI_E,FR	12487 b	10755 	11971 b	12298 	11990 	13035 	11629 	12045 	11213 	11519 	11390 	11733 	10771 	11503 	11258 b	9593 	9919 	9142 	8786 	: 
EUR,A1_DCH,MEI_E,HR	6846 b	6178 	6187 	5080 	4557 	4609 	4656 	4411 	4201 	3993 	4313 	4330 	4549 	: 	: 	: 	: 	: 	: 	: 
