A1,MED_E,EUR,SK	7172 	6731 	6570 	6192 	6119 	5785 	5853 	5799 	5685 	5549 	5325 	5116 	4836 	4328 	3508 	2976 	2556 	2178 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,TR	: 	3713 	4031 	3923 	4271 	4594 	4594 	4190 	4475 	4399 	4066 	4270 	3532 	3807 	3823 	3563 	3394 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,UK	: 	: 	: 	: 	17958 	17536 b	17866 	18115 	16784 	15617 	16614 b	14526 	14112 	13677 	14984 	17405 	15999 	15326 b	: 	: 	13841 	12387 	10963 	10374 	8294 	7559 	7609 
A1,MED_E,EUR,XK	: 	: 	: 	: 	1960 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,AL	: 	291984 	267000 	240000 	224812 	212200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,AT	24174 	24229 	23741 	22846 	22016 	21900 	20835 	20797 	20280 	20199 	19602 	18676 	18712 	17762 	17493 b	16835 	16585 	16437 	15400 	14331 b	14491 	14391 	13212 	13226 	12318 	12495 	11984 
A1,MED_E,NAC,BE	20609 	19955 	19384 	18990 b	18160 	17716 	17195 	17250 	17138 	16729 	16017 	15662 	15807 	15873 	14617 	14053 	13800 	13575 	13160 	12607 b	12791 	12345 	12282 	11899 	11825 	11160 	10709 
A1,MED_E,NAC,BG	6584 	6747 	5697 	5334 	4934 	4689 	4370 b	4410 	5000 	3930 	3601 	3355 	3470 	2921 	2387 	1814 	1788 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,CH	45023 	42873 	43282 	43410 	44434 	44526 	43410 	45015 	44440 b	43683 	44097 	42975 	43287 	43505 	42679 	42731 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,CY	15412 	14419 	14424 	14748 	13886 	12438 	12274 	12176 	12761 	13723 	13383 	13491 	12740 	13661 	7207 b	6172 	5510 	4856 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,CZ	224002 	209408 	198929 	184520 	175200 	164930 	158920 	155325 	156050 	155400 	150000 	143915 	142587 	132699 	125268 	117120 	108000 	102500 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,DE	21310 	21013 	21140 b	19303 	18844 	17875 	17176 	16980 	15877 	15853 	15831 	15671 	15697 	15894 	15580 	15195 	14884 	14772 b	: 	: 	14248 	13896 	13334 	13549 	13369 	12834 	12271 
A1,MED_E,NAC,DK	192904 	188908 	182276 b	184102 	178008 	175091 	171534 	167868 	165981 	161941 	159775 	155913 b	147220 	143966 	137897 	134180 	128657 	126679 	124567 	122201 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,EE	8187 	7331 	7077 	6606 	5751 	5252 	4894 	4641 	4340 b	4288 	4006 	3905 	3894 	3761 	3202 	2687 	2301 	1953 	1687 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,EL	8820 	8084 	8064 	7650 	7406 	7355 	7420 	7440 	7730 	8400 	9050 	9130 	10000 	9836 	9600 	8700 	8700 	8150 	7430 	7000 b	5804 	5572 	4990 	4634 	4574 	4271 	3669 
A1,MED_E,NAC,ES	15297 	14457 	14772 	13722 	13077 	12716 	12634 	12558 	12183 	12506 	12797 	12184 	12844 	12850 	11938 b	9890 	8796 	8400 	8190 b	: 	7159 	6755 	6090 	5661 	5301 	5217 	4913 
A1,MED_E,NAC,FI	19684 	19082 	18778 	18317 	17945 	17978 	17668 	17153 	17028 	16949 	16384 	16046 	16057 	15261 	14234 	13790 	13328 	13162 	12550 b	: 	10647 	10349 	10083 	9709 	9678 	9438 	: 
A1,MED_E,NAC,FR	20146 b	19562 	19651 b	20286 	20612 	20543 	20180 	19662 	19484 	19285 	18703 	18271 	17765 	17989 	17283 	14814 	14398 	14272 	13649 b	: 	13105 	12834 	12236 	12243 	11837 	11341 	11175 
